x,y
0.9997256132783923,89
2.0000385104170677,132
2.999865213540263,193
4.000173296876805,282
5,266
5.999826703123195,420
7.000134786459736,491
7.999961489582932,490
8.999788192706125,514
10.000096276042669,411
10.999922979165863,431
12.000231062502406,401
13.0000577656256,448
13.999884468748796,345
15.000192552085336,335
16.000019255208535,243
16.99984595833173,203
18.000154041668274,166
18.999980744791465,94
20.00028882812801,75
21.0001155312512,52
21.999942234374398,25
23.00025031771094,18
24.000077020834134,8
24.999903723957328,5
26.00021180729387,3
27.000038510417067,1
28.00034659375361,1
29.000173296876802,0
30,0
