x,y
0.9997256132783923,11
2.0000385104170677,21
2.999865213540263,32
4.000173296876805,41
5,94
5.999826703123195,126
7.000134786459736,190
7.999961489582932,164
8.999788192706125,321
10.000096276042669,332
10.999922979165863,504
12.000231062502406,527
13.0000577656256,628
13.999884468748796,586
15.000192552085336,589
16.000019255208535,669
16.99984595833173,376
18.000154041668274,476
18.999980744791465,481
20.00028882812801,393
21.0001155312512,278
21.999942234374398,266
23.00025031771094,155
24.000077020834134,96
24.999903723957328,57
26.00021180729387,39
27.000038510417067,29
28.00034659375361,20
29.000173296876802,13
30,6
